scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-c,read,10,25,auth.kdf_identity,193.979
ycsb-c,read,10,25,preflight.checkpoint_evaluation,0.635
ycsb-c,read,10,25,preflight.cloud_head_fetch,509.764
ycsb-c,read,10,25,preflight.outbox_replay,0.071
ycsb-c,read,10,25,preflight.relay_fetch_r2,2325.091
ycsb-c,read,10,25,preflight.total,2841.895
ycsb-c,read,10,25,read.blob_decrypt_verify,0.177
ycsb-c,read,10,25,read.blob_fetch,612.913
ycsb-c,read,10,25,read.path_resolution,4910.453
ycsb-c,read,10,26,auth.kdf_identity,186.067
ycsb-c,read,10,26,preflight.checkpoint_evaluation,0.752
ycsb-c,read,10,26,preflight.cloud_head_fetch,535.357
ycsb-c,read,10,26,preflight.outbox_replay,0.068
ycsb-c,read,10,26,preflight.relay_fetch_r2,2356.439
ycsb-c,read,10,26,preflight.total,2899.145
ycsb-c,read,10,26,read.blob_decrypt_verify,0.196
ycsb-c,read,10,26,read.blob_fetch,806.037
ycsb-c,read,10,26,read.path_resolution,3640.759
ycsb-c,read,10,27,auth.kdf_identity,197.181
ycsb-c,read,10,27,preflight.checkpoint_evaluation,0.649
ycsb-c,read,10,27,preflight.cloud_head_fetch,455.177
ycsb-c,read,10,27,preflight.outbox_replay,0.075
ycsb-c,read,10,27,preflight.relay_fetch_r2,2498.846
ycsb-c,read,10,27,preflight.total,2960.023
ycsb-c,read,10,27,read.blob_decrypt_verify,0.195
ycsb-c,read,10,27,read.blob_fetch,717.047
ycsb-c,read,10,27,read.path_resolution,4612.645
ycsb-b,read,10,28,auth.kdf_identity,186.581
ycsb-b,read,10,28,preflight.checkpoint_evaluation,0.433
ycsb-b,read,10,28,preflight.cloud_head_fetch,513.879
ycsb-b,read,10,28,preflight.outbox_replay,0.083
ycsb-b,read,10,28,preflight.relay_fetch_r2,3710.092
ycsb-b,read,10,28,preflight.total,4227.807
ycsb-b,read,10,28,read.blob_decrypt_verify,0.215
ycsb-b,read,10,28,read.blob_fetch,648.907
ycsb-b,read,10,28,read.path_resolution,3616.621
ycsb-b,read,10,29,auth.kdf_identity,178.848
ycsb-b,read,10,29,preflight.checkpoint_evaluation,0.654
ycsb-b,read,10,29,preflight.cloud_head_fetch,504.473
ycsb-b,read,10,29,preflight.outbox_replay,0.066
ycsb-b,read,10,29,preflight.relay_fetch_r2,2282.382
ycsb-b,read,10,29,preflight.total,2793.594
ycsb-b,read,10,29,read.blob_decrypt_verify,0.088
ycsb-b,read,10,29,read.blob_fetch,621.121
ycsb-b,read,10,29,read.path_resolution,4470.837
ycsb-b,update,10,30,auth.kdf_identity,178.855
ycsb-b,update,10,30,commit.checkpoint_create_journal,2.393
ycsb-b,update,10,30,commit.checkpoint_publish_w2,2316.984
ycsb-b,update,10,30,commit.cloud_head_recheck,443.798
ycsb-b,update,10,30,commit.dropbox_cas,2000.692
ycsb-b,update,10,30,commit.dropbox_readback,1447.967
