scenario,operation,dataset_files,sequence,phase,phase_ms
ycsb-c,read,10,24,preflight.cloud_head_fetch,623.789
ycsb-c,read,10,24,preflight.outbox_replay,0.07
ycsb-c,read,10,24,preflight.relay_fetch_r2,2279.382
ycsb-c,read,10,24,preflight.total,2910.759
ycsb-c,read,10,24,read.blob_decrypt_verify,0.256
ycsb-c,read,10,24,read.blob_fetch,1671.645
ycsb-c,read,10,24,read.path_resolution,3613.166
ycsb-c,read,10,25,auth.kdf_identity,178.859
ycsb-c,read,10,25,preflight.checkpoint_evaluation,0.764
ycsb-c,read,10,25,preflight.cloud_head_fetch,467.978
ycsb-c,read,10,25,preflight.outbox_replay,0.07
ycsb-c,read,10,25,preflight.relay_fetch_r2,2384.058
ycsb-c,read,10,25,preflight.total,2861.975
ycsb-c,read,10,25,read.blob_decrypt_verify,0.162
ycsb-c,read,10,25,read.blob_fetch,645.422
ycsb-c,read,10,25,read.path_resolution,4706.36
ycsb-c,read,10,26,auth.kdf_identity,193.603
ycsb-c,read,10,26,preflight.checkpoint_evaluation,0.771
ycsb-c,read,10,26,preflight.cloud_head_fetch,1597.984
ycsb-c,read,10,26,preflight.outbox_replay,0.06
ycsb-c,read,10,26,preflight.relay_fetch_r2,2481.916
ycsb-c,read,10,26,preflight.total,4088.029
ycsb-c,read,10,26,read.blob_decrypt_verify,0.21
ycsb-c,read,10,26,read.blob_fetch,658.804
ycsb-c,read,10,26,read.path_resolution,3659.223
ycsb-c,read,10,27,auth.kdf_identity,180.923
ycsb-c,read,10,27,preflight.checkpoint_evaluation,0.775
ycsb-c,read,10,27,preflight.cloud_head_fetch,1527.896
ycsb-c,read,10,27,preflight.outbox_replay,0.12
ycsb-c,read,10,27,preflight.relay_fetch_r2,2562.642
ycsb-c,read,10,27,preflight.total,4097.447
ycsb-c,read,10,27,read.blob_decrypt_verify,0.208
ycsb-c,read,10,27,read.blob_fetch,574.948
ycsb-c,read,10,27,read.path_resolution,3672.443
ycsb-b,read,10,28,auth.kdf_identity,180.381
ycsb-b,read,10,28,preflight.checkpoint_evaluation,0.787
ycsb-b,read,10,28,preflight.cloud_head_fetch,781.853
ycsb-b,read,10,28,preflight.outbox_replay,0.069
ycsb-b,read,10,28,preflight.relay_fetch_r2,2345.708
ycsb-b,read,10,28,preflight.total,3135.245
ycsb-b,read,10,28,read.blob_decrypt_verify,0.222
ycsb-b,read,10,28,read.blob_fetch,652.876
ycsb-b,read,10,28,read.path_resolution,3772.49
ycsb-b,read,10,29,auth.kdf_identity,183.303
ycsb-b,read,10,29,preflight.checkpoint_evaluation,0.783
ycsb-b,read,10,29,preflight.cloud_head_fetch,506.715
ycsb-b,read,10,29,preflight.outbox_replay,0.07
ycsb-b,read,10,29,preflight.relay_fetch_r2,2279.987
ycsb-b,read,10,29,preflight.total,2793.485
ycsb-b,read,10,29,read.blob_decrypt_verify,0.231
ycsb-b,read,10,29,read.blob_fetch,642.534
ycsb-b,read,10,29,read.path_resolution,4116.842
ycsb-b,update,10,30,auth.kdf_identity,205.665
ycsb-b,update,10,30,commit.checkpoint_create_journal,2.543
ycsb-b,update,10,30,commit.checkpoint_publish_w2,2272.323
ycsb-b,update,10,30,commit.cloud_head_recheck,451.769
ycsb-b,update,10,30,commit.dropbox_cas,952.14
ycsb-b,update,10,30,commit.dropbox_readback,383.508
ycsb-b,update,10,30,commit.local_finalize,1.865
ycsb-b,update,10,30,preflight.checkpoint_evaluation,2.334
ycsb-b,update,10,30,preflight.cloud_head_fetch,2481.147
ycsb-b,update,10,30,preflight.outbox_replay,0.29
ycsb-b,update,10,30,preflight.relay_fetch_r2,8678.047
ycsb-b,update,10,30,write.cas_checkpoint_finalize,10675.472
ycsb-b,update,10,30,write.head_journal,1.732
ycsb-b,update,10,30,write.object_prepare_upload,9370.894
ycsb-b,update,10,30,write.preflight,4567.482
ycsb-b,read,10,31,auth.kdf_identity,177.471
ycsb-b,read,10,31,preflight.checkpoint_evaluation,0.804
ycsb-b,read,10,31,preflight.cloud_head_fetch,613.154
ycsb-b,read,10,31,preflight.outbox_replay,0.069
ycsb-b,read,10,31,preflight.relay_fetch_r2,2494.108
ycsb-b,read,10,31,preflight.total,3113.704
ycsb-b,read,10,31,read.blob_decrypt_verify,0.202
ycsb-b,read,10,31,read.blob_fetch,691.097
ycsb-b,read,10,31,read.path_resolution,3886.589
ycsb-b,read,10,32,auth.kdf_identity,195.221
ycsb-b,read,10,32,preflight.checkpoint_evaluation,1.185
ycsb-b,read,10,32,preflight.cloud_head_fetch,630.245
ycsb-b,read,10,32,preflight.outbox_replay,0.07
ycsb-b,read,10,32,preflight.relay_fetch_r2,2579.996
ycsb-b,read,10,32,preflight.total,3218.317
ycsb-b,read,10,32,read.blob_decrypt_verify,0.204
ycsb-b,read,10,32,read.blob_fetch,617.392
ycsb-b,read,10,32,read.path_resolution,3953.696
ycsb-b,read,10,33,auth.kdf_identity,178.025
ycsb-b,read,10,33,preflight.checkpoint_evaluation,0.754
ycsb-b,read,10,33,preflight.cloud_head_fetch,1096.046
ycsb-b,read,10,33,preflight.outbox_replay,0.082
ycsb-b,read,10,33,preflight.relay_fetch_r2,2369.743
ycsb-b,read,10,33,preflight.total,3471.922
ycsb-b,read,10,33,read.blob_decrypt_verify,0.199
ycsb-b,read,10,33,read.blob_fetch,668.939
ycsb-b,read,10,33,read.path_resolution,4819.551
ycsb-b,read,10,34,auth.kdf_identity,184.342
ycsb-b,read,10,34,preflight.checkpoint_evaluation,1.274
ycsb-b,read,10,34,preflight.cloud_head_fetch,446.389
ycsb-b,read,10,34,preflight.outbox_replay,0.071
ycsb-b,read,10,34,preflight.relay_fetch_r2,2586.335
ycsb-b,read,10,34,preflight.total,3040.171
ycsb-b,read,10,34,read.blob_decrypt_verify,0.216
ycsb-b,read,10,34,read.blob_fetch,646.021
ycsb-b,read,10,34,read.path_resolution,3818.127
ycsb-b,read,10,35,auth.kdf_identity,186.049
ycsb-b,read,10,35,preflight.checkpoint_evaluation,0.751
ycsb-b,read,10,35,preflight.cloud_head_fetch,501.393
ycsb-b,read,10,35,preflight.outbox_replay,0.07
ycsb-b,read,10,35,preflight.relay_fetch_r2,2609.943
