scenario,operation,dataset_files,sequence,phase,phase_ms
scale-10,cat-sample-1,10,26,auth.kdf_identity,192.725
scale-10,cat-sample-1,10,26,preflight.checkpoint_evaluation,0.739
scale-10,cat-sample-1,10,26,preflight.cloud_head_fetch,626.393
scale-10,cat-sample-1,10,26,preflight.outbox_replay,0.069
scale-10,cat-sample-1,10,26,preflight.relay_fetch_r2,2507.311
scale-10,cat-sample-1,10,26,preflight.total,3140.349
scale-10,cat-sample-1,10,26,read.blob_decrypt_verify,0.218
scale-10,cat-sample-1,10,26,read.blob_fetch,683.711
scale-10,cat-sample-1,10,26,read.path_resolution,5358.498
scale-10,quick-scan,10,27,auth.kdf_identity,186.143
scale-10,quick-scan,10,27,preflight.checkpoint_evaluation,0.738
scale-10,quick-scan,10,27,preflight.cloud_head_fetch,1746.361
scale-10,quick-scan,10,27,preflight.outbox_replay,0.073
scale-10,quick-scan,10,27,preflight.relay_fetch_r2,2423.111
scale-10,quick-scan,10,27,preflight.total,4176.08
scale-10,deep-scan,10,28,auth.kdf_identity,193.378
scale-10,deep-scan,10,28,preflight.checkpoint_evaluation,0.713
scale-10,deep-scan,10,28,preflight.cloud_head_fetch,507.743
scale-10,deep-scan,10,28,preflight.outbox_replay,0.074
scale-10,deep-scan,10,28,preflight.relay_fetch_r2,2264.285
scale-10,deep-scan,10,28,preflight.total,2778.538
