scenario,operation,dataset_files,phase,n,mean_ms,median_ms,p95_ms,p99_ms
scale-5,cat,5,read.path_resolution,1,5235.096,5235.096,5235.096,5235.096
scale-5,deep-scan,5,auth.kdf_identity,1,182.413,182.413,182.413,182.413
scale-5,deep-scan,5,preflight.checkpoint_evaluation,1,0.636,0.636,0.636,0.636
scale-5,deep-scan,5,preflight.cloud_head_fetch,1,646.626,646.626,646.626,646.626
scale-5,deep-scan,5,preflight.outbox_replay,1,0.089,0.089,0.089,0.089
scale-5,deep-scan,5,preflight.relay_fetch_r2,1,2247.789,2247.789,2247.789,2247.789
scale-5,deep-scan,5,preflight.total,1,2900.569,2900.569,2900.569,2900.569
scale-5,init,5,auth.kdf_identity,1,1231.274,1231.274,1231.274,1231.274
scale-5,init,5,init.checkpoint_publish_w2,1,2571.191,2571.191,2571.191,2571.191
scale-5,init,5,init.cloud_head_fetch,1,798.731,798.731,798.731,798.731
scale-5,init,5,init.genesis_publish_w2,1,2362.687,2362.687,2362.687,2362.687
scale-5,list,5,auth.kdf_identity,1,198.714,198.714,198.714,198.714
scale-5,list,5,preflight.checkpoint_evaluation,1,0.738,0.738,0.738,0.738
scale-5,list,5,preflight.cloud_head_fetch,1,455.053,455.053,455.053,455.053
scale-5,list,5,preflight.outbox_replay,1,0.071,0.071,0.071,0.071
scale-5,list,5,preflight.relay_fetch_r2,1,2330.42,2330.42,2330.42,2330.42
scale-5,list,5,preflight.total,1,2791.255,2791.255,2791.255,2791.255
scale-5,quick-scan,5,auth.kdf_identity,1,175.414,175.414,175.414,175.414
scale-5,quick-scan,5,preflight.checkpoint_evaluation,1,0.723,0.723,0.723,0.723
scale-5,quick-scan,5,preflight.cloud_head_fetch,1,593.235,593.235,593.235,593.235
scale-5,quick-scan,5,preflight.outbox_replay,1,0.067,0.067,0.067,0.067
scale-5,quick-scan,5,preflight.relay_fetch_r2,1,2475.997,2475.997,2475.997,2475.997
scale-5,quick-scan,5,preflight.total,1,3075.876,3075.876,3075.876,3075.876
scale-5,status,5,auth.kdf_identity,1,178.38,178.38,178.38,178.38
scale-5,status,5,preflight.checkpoint_evaluation,1,0.73,0.73,0.73,0.73
scale-5,status,5,preflight.cloud_head_fetch,1,555.968,555.968,555.968,555.968
scale-5,status,5,preflight.outbox_replay,1,0.074,0.074,0.074,0.074
scale-5,status,5,preflight.relay_fetch_r2,1,2305.288,2305.288,2305.288,2305.288
scale-5,status,5,preflight.total,1,2867.716,2867.716,2867.716,2867.716
scale-5,tree,5,auth.kdf_identity,1,175.745,175.745,175.745,175.745
scale-5,tree,5,preflight.checkpoint_evaluation,1,0.851,0.851,0.851,0.851
scale-5,tree,5,preflight.cloud_head_fetch,1,596.538,596.538,596.538,596.538
scale-5,tree,5,preflight.outbox_replay,1,0.068,0.068,0.068,0.068
scale-5,tree,5,preflight.relay_fetch_r2,1,2375.377,2375.377,2375.377,2375.377
scale-5,tree,5,preflight.total,1,2978.319,2978.319,2978.319,2978.319
