operation,size_bytes,iteration,phase,phase_ms
add,8192,5,auth.kdf_identity,177.858
add,8192,5,commit.checkpoint_create_journal,1.403
add,8192,5,commit.checkpoint_publish_w2,1697.803
add,8192,5,commit.cloud_head_recheck,432.739
add,8192,5,commit.dropbox_cas,1033.411
add,8192,5,commit.dropbox_readback,523.991
add,8192,5,commit.local_finalize,3.801
add,8192,5,preflight.checkpoint_evaluation,2.297
add,8192,5,preflight.cloud_head_fetch,1533.803
add,8192,5,preflight.outbox_replay,0.242
add,8192,5,preflight.relay_fetch_r2,4947.153
add,8192,5,write.cas_checkpoint_finalize,7884.651
add,8192,5,write.head_journal,1.852
add,8192,5,write.object_prepare_upload,4124.918
add,8192,5,write.preflight,2306.325
cat,8192,5,auth.kdf_identity,193.523
cat,8192,5,preflight.checkpoint_evaluation,0.578
cat,8192,5,preflight.cloud_head_fetch,576.564
cat,8192,5,preflight.outbox_replay,0.084
cat,8192,5,preflight.relay_fetch_r2,1688.806
cat,8192,5,preflight.total,2272.061
cat,8192,5,read.blob_decrypt_verify,0.083
cat,8192,5,read.blob_fetch,667.641
cat,8192,5,read.path_resolution,2035.398
remove,8192,5,auth.kdf_identity,178.992
remove,8192,5,commit.checkpoint_create_journal,2.322
remove,8192,5,commit.checkpoint_publish_w2,1764.44
remove,8192,5,commit.cloud_head_recheck,387.695
remove,8192,5,commit.dropbox_cas,1060.86
remove,8192,5,commit.dropbox_readback,368.797
remove,8192,5,commit.local_finalize,3.921
remove,8192,5,preflight.checkpoint_evaluation,1.289
remove,8192,5,preflight.cloud_head_fetch,1362.918
remove,8192,5,preflight.outbox_replay,0.193
remove,8192,5,preflight.relay_fetch_r2,5318.453
remove,8192,5,write.cas_checkpoint_finalize,8023.335
remove,8192,5,write.head_journal,0.933
remove,8192,5,write.object_prepare_upload,4807.664
remove,8192,5,write.preflight,2259.816
add,1048576,1,auth.kdf_identity,197.223
add,1048576,1,commit.checkpoint_create_journal,1.885
add,1048576,1,commit.checkpoint_publish_w2,1593.219
add,1048576,1,commit.cloud_head_recheck,1370.04
add,1048576,1,commit.dropbox_cas,950.734
add,1048576,1,commit.dropbox_readback,1391.235
add,1048576,1,commit.local_finalize,4.552
add,1048576,1,preflight.checkpoint_evaluation,2.106
add,1048576,1,preflight.cloud_head_fetch,1397.78
add,1048576,1,preflight.outbox_replay,0.206
add,1048576,1,preflight.relay_fetch_r2,5061.222
add,1048576,1,write.cas_checkpoint_finalize,9548.165
add,1048576,1,write.head_journal,1.096
add,1048576,1,write.object_prepare_upload,4202.316
add,1048576,1,write.preflight,2240.347
cat,1048576,1,auth.kdf_identity,186.04
cat,1048576,1,preflight.checkpoint_evaluation,1.025
cat,1048576,1,preflight.cloud_head_fetch,523.144
cat,1048576,1,preflight.outbox_replay,0.078
cat,1048576,1,preflight.relay_fetch_r2,2272.601
cat,1048576,1,preflight.total,2802.464
cat,1048576,1,read.blob_decrypt_verify,6.949
cat,1048576,1,read.blob_fetch,1115.5
cat,1048576,1,read.path_resolution,1747.436
remove,1048576,1,auth.kdf_identity,190.067
remove,1048576,1,commit.checkpoint_create_journal,2.012
remove,1048576,1,commit.checkpoint_publish_w2,1632.187
remove,1048576,1,commit.cloud_head_recheck,460.748
remove,1048576,1,commit.dropbox_cas,1536.171
remove,1048576,1,commit.dropbox_readback,404.613
remove,1048576,1,commit.local_finalize,3.873
remove,1048576,1,preflight.checkpoint_evaluation,2.567
remove,1048576,1,preflight.cloud_head_fetch,3391.487
remove,1048576,1,preflight.outbox_replay,0.343
remove,1048576,1,preflight.relay_fetch_r2,5480.186
remove,1048576,1,write.cas_checkpoint_finalize,9558.788
remove,1048576,1,write.head_journal,1.419
remove,1048576,1,write.object_prepare_upload,5387.931
remove,1048576,1,write.preflight,3369.994
add,1048576,2,auth.kdf_identity,200.312
add,1048576,2,commit.checkpoint_create_journal,1.73
add,1048576,2,commit.checkpoint_publish_w2,1774.295
add,1048576,2,commit.cloud_head_recheck,483.691
add,1048576,2,commit.dropbox_cas,1794.762
add,1048576,2,commit.dropbox_readback,631.753
add,1048576,2,commit.local_finalize,1.908
add,1048576,2,preflight.checkpoint_evaluation,1.109
add,1048576,2,preflight.cloud_head_fetch,2524.083
add,1048576,2,preflight.outbox_replay,0.216
add,1048576,2,preflight.relay_fetch_r2,5332.211
add,1048576,2,write.cas_checkpoint_finalize,9220.479
add,1048576,2,write.head_journal,1.136
add,1048576,2,write.object_prepare_upload,3137.72
add,1048576,2,write.preflight,3335.305
cat,1048576,2,auth.kdf_identity,198.361
cat,1048576,2,preflight.checkpoint_evaluation,0.573
cat,1048576,2,preflight.cloud_head_fetch,464.259
cat,1048576,2,preflight.outbox_replay,0.069
cat,1048576,2,preflight.relay_fetch_r2,2701.653
cat,1048576,2,preflight.total,3171.3
cat,1048576,2,read.blob_decrypt_verify,10.539
cat,1048576,2,read.blob_fetch,1142.458
cat,1048576,2,read.path_resolution,1743.415
remove,1048576,2,auth.kdf_identity,188.044
remove,1048576,2,commit.checkpoint_create_journal,1.78
remove,1048576,2,commit.checkpoint_publish_w2,1651.801
remove,1048576,2,commit.cloud_head_recheck,414.76
remove,1048576,2,commit.dropbox_cas,1061.287
remove,1048576,2,commit.dropbox_readback,511.135
remove,1048576,2,commit.local_finalize,2.83
remove,1048576,2,preflight.checkpoint_evaluation,1.804
remove,1048576,2,preflight.cloud_head_fetch,1430.162
remove,1048576,2,preflight.outbox_replay,0.29
remove,1048576,2,preflight.relay_fetch_r2,5241.908
remove,1048576,2,write.cas_checkpoint_finalize,8053.74
remove,1048576,2,write.head_journal,1.936
remove,1048576,2,write.object_prepare_upload,4535.83
remove,1048576,2,write.preflight,2277.928
add,1048576,3,auth.kdf_identity,178.409
add,1048576,3,commit.checkpoint_create_journal,1.661
add,1048576,3,commit.checkpoint_publish_w2,1841.17
add,1048576,3,commit.cloud_head_recheck,501.222
add,1048576,3,commit.dropbox_cas,932.483
add,1048576,3,commit.dropbox_readback,397.551
add,1048576,3,commit.local_finalize,2.619
add,1048576,3,preflight.checkpoint_evaluation,2.016
add,1048576,3,preflight.cloud_head_fetch,1353.376
add,1048576,3,preflight.outbox_replay,0.274
add,1048576,3,preflight.relay_fetch_r2,5391.87
add,1048576,3,write.cas_checkpoint_finalize,8048.604
add,1048576,3,write.head_journal,1.367
add,1048576,3,write.object_prepare_upload,3246.642
add,1048576,3,write.preflight,2390.274
cat,1048576,3,auth.kdf_identity,183.322
cat,1048576,3,preflight.checkpoint_evaluation,0.554
